04E8,
1581,231E
1582,2333
1583,2341
1584,2352
1585,2360
1586,236E
1587,2380
1588,2391
1589,23A4
158A,23B0
158B,23BF
158C,23CB
158D,23D4
158E,23E0
158F,23E9
1590,23F2
1591,23FD
1592,2407
1593,2411
1594,241A
1595,2421
15BB,2580
15BC,258A
15BD,2594
15BE,2592
15BF,
15C0,25B0
15C1,25B9
15C2,25C2
15C3,25CB
15C4,25D4
27EF,
3A9E,2EDA
3FD3,
3FD4,
3FD5,
3FD6,
40E7,
40E9,
4220,
4221,
4222,
4223,
4224,
4225,
4226,
4442,
4443,
4444,
4445,
4446,
4447,
4448,
4449,
444A,
444B,
444C,
444E,
444F,
4450,
4451,
4452,
4453,
4711,
47AF,
47BA,
4885,2EBF
4DED,
4DF8,
4DFA,
4DFC,34AA
5166,34A6
5189,
518E,
5452,34AB
56DA,
